origen,destino,origen_id,destino_id,origen_etiqueta,destino_etiqueta,peso,tipo_arista
a:UCj-LL25XJnjxepPKCc3NGog,a:UCtNfIBnc5S5DbbQj_yxgJTw,UCj-LL25XJnjxepPKCc3NGog,UCtNfIBnc5S5DbbQj_yxgJTw,@anaaguirre8985,@JosueRamirez-ey3ih,1,autor-autor
a:UCj-LL25XJnjxepPKCc3NGog,a:UCtUR3_CAiE7fCoZHM6cMfyQ,UCj-LL25XJnjxepPKCc3NGog,UCtUR3_CAiE7fCoZHM6cMfyQ,@anaaguirre8985,@mdelcid01,1,autor-autor
a:UCj-LL25XJnjxepPKCc3NGog,a:UCvApqeCbLod-wejtT4CcVuA,UCj-LL25XJnjxepPKCc3NGog,UCvApqeCbLod-wejtT4CcVuA,@anaaguirre8985,@davidgaher9550,1,autor-autor
a:UCj-LL25XJnjxepPKCc3NGog,a:UCwha8rxULYMVtNwZWeSkE1A,UCj-LL25XJnjxepPKCc3NGog,UCwha8rxULYMVtNwZWeSkE1A,@anaaguirre8985,@mariasamo8637,1,autor-autor
a:UCj-LL25XJnjxepPKCc3NGog,a:UCySYJU5kUh7X8gVt9la2ISA,UCj-LL25XJnjxepPKCc3NGog,UCySYJU5kUh7X8gVt9la2ISA,@anaaguirre8985,@dantesarti4351,1,autor-autor
a:UCj-LL25XJnjxepPKCc3NGog,a:UCylqlpsh8ENNM1LqgQ1KbxA,UCj-LL25XJnjxepPKCc3NGog,UCylqlpsh8ENNM1LqgQ1KbxA,@anaaguirre8985,@Jel.Awesh.M,1,autor-autor
a:UCj-LL25XJnjxepPKCc3NGog,a:UCz3gu01bmjNv0DpRq-K3XYg,UCj-LL25XJnjxepPKCc3NGog,UCz3gu01bmjNv0DpRq-K3XYg,@anaaguirre8985,@eusebiovasquez4385,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UC-fiZBS5Gp1eCJd9ucgWnCg,UC1DpqK6vaPEkBOMNvypsKYg,UC-fiZBS5Gp1eCJd9ucgWnCg,@HectorCarranza-u4j4o,@Tommii.10,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UC32oozucwCF3q8d4m8fyOUg,UC1DpqK6vaPEkBOMNvypsKYg,UC32oozucwCF3q8d4m8fyOUg,@HectorCarranza-u4j4o,@RauldejesusOlivagonzalez,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UC3UVO7pTbeYvZ3ILEyRDskQ,UC1DpqK6vaPEkBOMNvypsKYg,UC3UVO7pTbeYvZ3ILEyRDskQ,@HectorCarranza-u4j4o,@rosaelenaargueta79,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UC4Avya4kmR4Q0FrfFdBozSQ,UC1DpqK6vaPEkBOMNvypsKYg,UC4Avya4kmR4Q0FrfFdBozSQ,@HectorCarranza-u4j4o,@davidlima1348,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UC5hvEnRUzI4Kfvwnyi4QxqQ,UC1DpqK6vaPEkBOMNvypsKYg,UC5hvEnRUzI4Kfvwnyi4QxqQ,@HectorCarranza-u4j4o,@leonelsantizo5281,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UC7dadZG7kkGYnsNu6td0FbA,UC1DpqK6vaPEkBOMNvypsKYg,UC7dadZG7kkGYnsNu6td0FbA,@HectorCarranza-u4j4o,@lesolorzano,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCAKuKvcbfnBD3kF5njNu-IA,UC1DpqK6vaPEkBOMNvypsKYg,UCAKuKvcbfnBD3kF5njNu-IA,@HectorCarranza-u4j4o,@melvinlopez7096,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCCBYcToQ2dwkd6TJh0FSyDg,UC1DpqK6vaPEkBOMNvypsKYg,UCCBYcToQ2dwkd6TJh0FSyDg,@HectorCarranza-u4j4o,@lidiarodriguez3493,1,autor-autor
a:UC1DpqK6vaPEkBOMNvypsKYg,a:UCDrmf9y9nLgFY5wnA2hTuGA,UC1DpqK6vaPEkBOMNvypsKYg,UCDrmf9y9nLgFY5wnA2hTuGA,@HectorCarranza-u4j4o,@laboratorio5528,1,autor-autor
a:UCpsKOkt5iWTbenzeuq7dsmQ,a:UCmvOgzmmXbjUthHy-WJ52hQ,UCpsKOkt5iWTbenzeuq7dsmQ,UCmvOgzmmXbjUthHy-WJ52hQ,@inge_vergueta,@mariorodas593,1,autor-autor
a:UCpsKOkt5iWTbenzeuq7dsmQ,a:UCpl8rF8uv_8uui-QRvuJaRA,UCpsKOkt5iWTbenzeuq7dsmQ,UCpl8rF8uv_8uui-QRvuJaRA,@inge_vergueta,@SergioGarcia-z9c,1,autor-autor
a:UCj-LL25XJnjxepPKCc3NGog,a:UCDftMWXQoJ6nONfY7GVOVjg,UCj-LL25XJnjxepPKCc3NGog,UCDftMWXQoJ6nONfY7GVOVjg,@anaaguirre8985,@luisgpacheco5858,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCAmtbUiIrUIhikru0ZoTFig,UCYwpX26TrCxq8TvbKGRYLXA,UCAmtbUiIrUIhikru0ZoTFig,@beneficioelcaminovillacana8540,@Aura-vf6dm,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCDPWkUX3sNNaCx-m1dV4glA,UCYwpX26TrCxq8TvbKGRYLXA,UCDPWkUX3sNNaCx-m1dV4glA,@beneficioelcaminovillacana8540,@hectoroliva949,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCDQaQv0hr2SS_PO-CMEwVHg,UCYwpX26TrCxq8TvbKGRYLXA,UCDQaQv0hr2SS_PO-CMEwVHg,@beneficioelcaminovillacana8540,@federicosaquimux1933,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCDUffaruH6dyUnUGwsTKpgg,UCYwpX26TrCxq8TvbKGRYLXA,UCDUffaruH6dyUnUGwsTKpgg,@beneficioelcaminovillacana8540,@luisletona2842,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCDlr1VadSucIZgZ171pRBjQ,UCYwpX26TrCxq8TvbKGRYLXA,UCDlr1VadSucIZgZ171pRBjQ,@beneficioelcaminovillacana8540,@cuabatzjj5924,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCEgEQmRbtL5fwr9_DqAC--g,UCYwpX26TrCxq8TvbKGRYLXA,UCEgEQmRbtL5fwr9_DqAC--g,@beneficioelcaminovillacana8540,@ArielRodas-g5y,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCFUuDARXdmmIrLppEqf-rFg,UCYwpX26TrCxq8TvbKGRYLXA,UCFUuDARXdmmIrLppEqf-rFg,@beneficioelcaminovillacana8540,@allanmunoz7410,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCFhxtoeARHPnXXPcDrOU3Xg,UCYwpX26TrCxq8TvbKGRYLXA,UCFhxtoeARHPnXXPcDrOU3Xg,@beneficioelcaminovillacana8540,@diegoalejandrolopezmendez205,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCFoIAE8k82D6AV-8gjjKaNg,UCYwpX26TrCxq8TvbKGRYLXA,UCFoIAE8k82D6AV-8gjjKaNg,@beneficioelcaminovillacana8540,@eddymunoz9789,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCFxE8GbokBrBsPEKM1xrOjQ,UCYwpX26TrCxq8TvbKGRYLXA,UCFxE8GbokBrBsPEKM1xrOjQ,@beneficioelcaminovillacana8540,@JuanDavila-qd7qj,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCGzXwyCzMzGmjmCbH3Hg01Q,UCYwpX26TrCxq8TvbKGRYLXA,UCGzXwyCzMzGmjmCbH3Hg01Q,@beneficioelcaminovillacana8540,@FidelZacarias-ph7dy,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCHTGCgY2l-DQJIvlA_cpa_Q,UCYwpX26TrCxq8TvbKGRYLXA,UCHTGCgY2l-DQJIvlA_cpa_Q,@beneficioelcaminovillacana8540,@virgiliogarcia3039,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCKDR0f2fu2UzWL8mBv5-BHw,UCYwpX26TrCxq8TvbKGRYLXA,UCKDR0f2fu2UzWL8mBv5-BHw,@beneficioelcaminovillacana8540,@mireyamorales6595,1,autor-autor
a:UCYwpX26TrCxq8TvbKGRYLXA,a:UCL1MT278vSaQ83ZDkVWn1gw,UCYwpX26TrCxq8TvbKGRYLXA,UCL1MT278vSaQ83ZDkVWn1gw,@beneficioelcaminovillacana8540,@elmorodriguez6978,1,autor-autor
